dataset,mode,experiment,model,kind,accuracy,macro_f1,balanced_acc,MCC,FAR,DR
swat,multiclass,E1,Hermes-4-405B,LLM,0.8,0.7916666666666667,0.8,0.6546536707079772,0.0,0.6
swat,multiclass,E1,RandomForest,Anchor,0.79,0.7803117480908045,0.79,0.6391014819458269,0.0,0.58
swat,multiclass,E1,TabPFN,Anchor,0.79,0.7803117480908045,0.79,0.6391014819458269,0.0,0.58
swat,multiclass,E1,TabICL,Anchor,0.82,0.8139727159983464,0.8200000000000001,0.6859943405700354,0.0,0.64
swat,multiclass,E2_k5,Qwen3-235B-A22B,LLM,0.83,0.8249407887962105,,0.7018100265975371,0.0,0.66
swat,multiclass,E2_k5,RandomForest,Anchor,0.79,0.7803117480908045,,0.6391014819458269,0.0,0.58
swat,multiclass,E2_k5,TabPFN,Anchor,0.79,0.7803117480908045,,0.6391014819458269,0.0,0.58
swat,multiclass,E2_k5,TabICL,Anchor,0.82,0.8139727159983464,,0.6859943405700354,0.0,0.64
swat,multiclass,E2_k10,Qwen3-235B-A22B,LLM,0.85,0.8465473145780051,,0.7337993857053429,0.0,0.7
swat,multiclass,E2_k10,RandomForest,Anchor,0.85,0.8465473145780051,,0.7337993857053429,0.0,0.7
swat,multiclass,E2_k10,TabPFN,Anchor,0.84,0.8383838383838383,,0.6940220937885672,0.06,0.74
swat,multiclass,E2_k10,TabICL,Anchor,0.86,0.8572011423908609,,0.75,0.0,0.72
swat,multiclass,E2_k25,Qwen3-235B-A22B,LLM,0.91,0.909265046879726,,0.8336157713463008,0.0,0.82
swat,multiclass,E2_k25,RandomForest,Anchor,0.91,0.9097744360902256,,0.8241310085125538,0.04,0.86
swat,multiclass,E2_k25,TabPFN,Anchor,0.87,0.8699869986998701,,0.7401480444148052,0.12,0.86
swat,multiclass,E2_k25,TabICL,Anchor,0.92,0.9197109594540344,,0.8461141122266493,0.02,0.86
swat,multiclass,E2_k50,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,,0.9801960588196068,0.0,0.98
swat,multiclass,E2_k50,RandomForest,Anchor,0.97,0.96999699969997,,0.9401880564188068,0.04,0.98
swat,multiclass,E2_k50,TabPFN,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.0,0.98
swat,multiclass,E2_k50,TabICL,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.0,0.98
swat,multiclass,E2_k100,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,,0.9801960588196068,0.0,0.98
swat,multiclass,E2_k100,RandomForest,Anchor,1.0,1.0,,1.0,0.0,1.0
swat,multiclass,E2_k100,TabPFN,Anchor,1.0,1.0,,1.0,0.0,1.0
swat,multiclass,E2_k100,TabICL,Anchor,1.0,1.0,,1.0,0.0,1.0
swat,multiclass,E3_nl-narrative,Qwen3-235B-A22B,LLM,0.84,0.8357963875205254,0.8400000000000001,0.7177405625652734,0.0,0.68
swat,multiclass,E3_raw-json,Qwen3-235B-A22B,LLM,0.83,0.8249407887962105,0.8300000000000001,0.7018100265975371,0.0,0.66
swat,multiclass,E3_typed-json,Qwen3-235B-A22B,LLM,0.82,0.8152709359605912,0.8200000000000001,0.6755205294731985,0.02,0.66
swat,multiclass,E3_role-instructed-ot,Qwen3-235B-A22B,LLM,0.82,0.8139727159983464,0.8200000000000001,0.6859943405700354,0.0,0.64
swat,multiclass,E7_LLM_subset,Qwen3-235B-A22B,LLM,0.84,0.8371772873623002,0.8400000000000001,0.7048787622091023,0.0283333333333333,0.7083333333333334
swat,multiclass,E7_anchor_full,RandomForest,Anchor,0.8270754150830166,0.8218147426150022,0.8270754150830166,0.6965733564166064,0.0011002200440088,0.655251050210042
swat,multiclass,E7_anchor_full,TabPFN,Anchor,0.8056511302260452,0.80298483955397,0.8056511302260452,0.6285518791644246,0.0780156031206241,0.6893178635727145
swat,multiclass,E7_anchor_full,TabICL,Anchor,0.8194838967793558,0.8146684383525972,0.8194838967793558,0.6750072292624291,0.0193238647729545,0.6582916583316664
swat,multiclass,E7_multiseed,Qwen3-235B-A22B,LLM,0.8366666666666666,0.8335513412761619,,0.700011803995012,0.0266666666666666,0.7000000000000001
swat,multiclass,E7_multiseed,RandomForest,Anchor,0.8269687270787491,0.8218344620161484,,0.6952321557423247,0.0032873241314929,0.6572247782889912
swat,multiclass,E7_multiseed,TabICL,Anchor,0.8180936187237448,0.8133383711833964,,0.6713126574959413,0.0223177968927118,0.6585050343402014
swat,multiclass,E7_multiseed,TabPFN,Anchor,0.8051743682069747,0.8025821994194562,,0.6270385845627454,0.0802427152097086,0.690591451623658
hai,multiclass,E1,Llama-3.3-70B,LLM,0.66,0.6486151302190988,0.6599999999999999,0.3429971702850177,0.16,0.48
hai,multiclass,E1,Qwen3-235B-A22B,LLM,0.68,0.6788438378161381,0.6799999999999999,0.3626203338114211,0.26,0.62
hai,multiclass,E1,Hermes-4-70B,LLM,0.5,0.3799603174603174,0.5,0.0,0.94,0.94
hai,multiclass,E1,Hermes-4-405B,LLM,0.57,0.5017958521608157,0.57,0.2081453617075184,0.06,0.2
hai,multiclass,E1,RandomForest,Anchor,0.72,0.7159090909090908,0.72,0.453247103886681,0.16,0.6
hai,multiclass,E1,TabPFN,Anchor,0.67,0.6691729323308271,0.6699999999999999,0.3417128571881321,0.28,0.62
hai,multiclass,E1,TabICL,Anchor,0.73,0.7266929851199515,0.73,0.4715531116602195,0.16,0.62
hai,multiclass,E2_k5,Qwen3-235B-A22B,LLM,0.67,0.6683750376846548,,0.3433817943798801,0.26,0.6
hai,multiclass,E2_k5,RandomForest,Anchor,0.72,0.7159090909090908,,0.453247103886681,0.16,0.6
hai,multiclass,E2_k5,TabPFN,Anchor,0.67,0.6691729323308271,,0.3417128571881321,0.28,0.62
hai,multiclass,E2_k5,TabICL,Anchor,0.73,0.7266929851199515,,0.4715531116602195,0.16,0.62
hai,multiclass,E2_k10,Qwen3-235B-A22B,LLM,0.84,0.8397435897435898,,0.6821865008193587,0.2,0.88
hai,multiclass,E2_k10,RandomForest,Anchor,0.86,0.8590982286634461,,0.729396808625797,0.22,0.94
hai,multiclass,E2_k10,TabPFN,Anchor,0.82,0.8173701298701299,,0.6592685147442633,0.3,0.94
hai,multiclass,E2_k10,TabICL,Anchor,0.86,0.859775641025641,,0.7223151185146152,0.18,0.9
hai,multiclass,E2_k25,Qwen3-235B-A22B,LLM,0.85,0.849624060150376,,0.7035264706814484,0.2,0.9
hai,multiclass,E2_k25,RandomForest,Anchor,0.9,0.8993558776167472,,0.8104408984731077,0.18,0.98
hai,multiclass,E2_k25,TabPFN,Anchor,0.9,0.8996386993175431,,0.8058229640253803,0.16,0.96
hai,multiclass,E2_k25,TabICL,Anchor,0.88,0.8798076923076923,,0.7624437362098715,0.16,0.92
hai,multiclass,E2_k50,Qwen3-235B-A22B,LLM,0.97,0.96999699969997,,0.9401880564188068,0.02,0.96
hai,multiclass,E2_k50,RandomForest,Anchor,0.98,0.98,,0.96,0.02,0.98
hai,multiclass,E2_k50,TabPFN,Anchor,0.99,0.98999899989999,,0.9801960588196068,0.02,1.0
hai,multiclass,E2_k50,TabICL,Anchor,0.97,0.96999699969997,,0.9401880564188068,0.02,0.96
hai,multiclass,E2_k100,Qwen3-235B-A22B,LLM,0.99,0.98999899989999,,0.9801960588196068,0.0,0.98
hai,multiclass,E2_k100,RandomForest,Anchor,1.0,1.0,,1.0,0.0,1.0
hai,multiclass,E2_k100,TabPFN,Anchor,1.0,1.0,,1.0,0.0,1.0
hai,multiclass,E2_k100,TabICL,Anchor,1.0,1.0,,1.0,0.0,1.0
hai,multiclass,E3_raw-json,Qwen3-235B-A22B,LLM,0.7,0.6995192307692308,0.7,0.4012861769525639,0.26,0.66
hai,multiclass,E3_typed-json,Qwen3-235B-A22B,LLM,0.7,0.6989160979526294,0.7,0.4029114820126901,0.24,0.64
hai,multiclass,E3_role-instructed-ot,Qwen3-235B-A22B,LLM,0.68,0.6767676767676768,0.6799999999999999,0.3674234614174767,0.22,0.58
hai,multiclass,E3_nl-narrative,Qwen3-235B-A22B,LLM,0.59,0.5879811074263892,0.5900000000000001,0.1817903617305248,0.48,0.66
hai,multiclass,E7_LLM_subset,Qwen3-235B-A22B,LLM,0.6831666666666667,0.6245353476795767,0.7058546269610275,0.3307796025367496,0.3311970229481083,0.7429062768701634
hai,multiclass,E7_anchor_full,RandomForest,Anchor,0.7213836477987421,0.6685630484984273,0.7630253088887329,0.4232951982065911,0.3049809961992398,0.8310316139767054
hai,multiclass,E7_anchor_full,TabPFN,Anchor,0.6843251088534107,0.6420925649263911,0.758302816969384,0.4095776235503735,0.3625125025005001,0.8791181364392678
hai,multiclass,E7_anchor_full,TabICL,Anchor,0.7514110627318175,0.6899038739304709,0.7658513649485305,0.4376734401928985,0.2577315463092618,0.7894342762063228
hai,multiclass,E7_multiseed,Qwen3-235B-A22B,LLM,0.6857777777777777,0.6273231579891551,,0.3362844005173597,0.3290607125628833,0.7474921180854114
hai,multiclass,E7_multiseed,RandomForest,Anchor,0.7065903348922217,0.6570394745971181,,0.4126504291561947,0.3259385210375409,0.8418746533555185
hai,multiclass,E7_multiseed,TabICL,Anchor,0.7329893028006236,0.6776394991265834,,0.4324324209068548,0.2883109955324398,0.8215751525235718
hai,multiclass,E7_multiseed,TabPFN,Anchor,0.683481158952857,0.640957888707545,,0.4064629382622551,0.3626258585050343,0.8752357182473655
wustl,multiclass,E1,Llama-3.3-70B,LLM,0.816,0.8071875996712639,0.8160000000000001,0.7750072220186416,0.02,0.97
wustl,multiclass,E1,Qwen3-235B-A22B,LLM,0.82,0.8127096462264657,0.82,0.7805142998157131,0.04,0.94
wustl,multiclass,E1,Hermes-4-70B,LLM,0.804,0.8041811332498014,0.8039999999999999,0.7555290555732066,0.22,0.98
wustl,multiclass,E1,Hermes-4-405B,LLM,0.764,0.750767684295643,0.764,0.7235432616541657,0.1,0.845
wustl,multiclass,E1,RandomForest,Anchor,0.896,0.8869947187256144,0.8960000000000001,0.8768308143182919,0.02,0.99
wustl,multiclass,E1,TabPFN,Anchor,0.904,0.896121781454297,0.904,0.8863872738556646,0.02,0.99
wustl,multiclass,E1,TabICL,Anchor,0.844,0.8391535803300509,0.844,0.8083535399122379,0.06,0.975
wustl,multiclass,E2_k5,Qwen3-235B-A22B,LLM,0.824,0.8165504061156236,,0.7860603047667092,0.08,0.96
wustl,multiclass,E2_k5,RandomForest,Anchor,0.896,0.8869947187256144,,0.8768308143182919,0.02,0.99
wustl,multiclass,E2_k5,TabPFN,Anchor,0.904,0.896121781454297,,0.8863872738556646,0.02,0.99
wustl,multiclass,E2_k5,TabICL,Anchor,0.844,0.8391535803300509,,0.8083535399122379,0.06,0.975
wustl,multiclass,E2_k10,Qwen3-235B-A22B,LLM,0.908,0.9073103740803008,,0.8859395942190204,0.02,0.985
wustl,multiclass,E2_k10,RandomForest,Anchor,0.948,0.946921692669866,,0.9369885257509448,0.02,0.995
wustl,multiclass,E2_k10,TabPFN,Anchor,0.972,0.9719946286126588,,0.9654055555178688,0.02,0.99
wustl,multiclass,E2_k10,TabICL,Anchor,0.948,0.9470344256758028,,0.9370638130859064,0.02,1.0
wustl,multiclass,E2_k25,Qwen3-235B-A22B,LLM,0.968,0.9675792897804282,,0.9607496772364816,0.02,0.985
wustl,multiclass,E2_k25,RandomForest,Anchor,0.992,0.991999199919992,,0.9900396023761584,0.02,1.0
wustl,multiclass,E2_k25,TabPFN,Anchor,0.992,0.991999599959996,,0.9900198005940198,0.02,0.995
wustl,multiclass,E2_k25,TabICL,Anchor,0.996,0.995999599959996,,0.99501990059702,0.02,1.0
wustl,multiclass,E2_k50,Qwen3-235B-A22B,LLM,0.988,0.9880729226082904,,0.9851379289657588,0.02,1.0
wustl,multiclass,E2_k50,RandomForest,Anchor,0.996,0.995999599959996,,0.99501990059702,0.02,1.0
wustl,multiclass,E2_k50,TabPFN,Anchor,0.996,0.995999599959996,,0.99501990059702,0.02,1.0
wustl,multiclass,E2_k50,TabICL,Anchor,0.996,0.995999599959996,,0.99501990059702,0.02,1.0
wustl,multiclass,E2_k100,Qwen3-235B-A22B,LLM,0.992,0.992,,0.99,0.0,1.0
wustl,multiclass,E2_k100,RandomForest,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,multiclass,E2_k100,TabPFN,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,multiclass,E2_k100,TabICL,Anchor,1.0,1.0,,1.0,0.0,1.0
wustl,multiclass,E3_typed-json,Qwen3-235B-A22B,LLM,0.856,0.8510658542998554,0.8559999999999999,0.8235987530224574,0.22,0.985
wustl,multiclass,E3_nl-narrative,Qwen3-235B-A22B,LLM,0.856,0.8478354498460877,0.8559999999999999,0.82419761303107,0.02,0.99
wustl,multiclass,E3_raw-json,Qwen3-235B-A22B,LLM,0.828,0.8218736722411737,0.828,0.7879524737409875,0.12,0.965
wustl,multiclass,E3_role-instructed-ot,Qwen3-235B-A22B,LLM,0.82,0.8142094522929796,0.82,0.7802136424903123,0.08,0.95
wustl,multiclass,E7_LLM_subset,Qwen3-235B-A22B,LLM,0.982,0.8152124577803578,0.91795967279548,0.9688483295888592,0.0192028985507246,0.999074074074074
wustl,multiclass,E7_anchor_full,RandomForest,Anchor,0.9884411150274708,0.8807425869191705,0.9464531773575582,0.9799350568966128,0.0229445889177835,0.9990796134376438
wustl,multiclass,E7_anchor_full,TabPFN,Anchor,0.9914688802790328,0.9248361419262088,0.9736109994276084,0.9851380668432002,0.0162632526505301,0.9982955804400812
wustl,multiclass,E7_anchor_full,TabICL,Anchor,0.9872815453566596,0.8589698471460693,0.9409779844158622,0.977920599142776,0.0243648729745949,0.9982274036576844
wustl,multiclass,E7_multiseed,Qwen3-235B-A22B,LLM,0.9811666666666666,0.8052878987561881,,0.967400679349583,0.0216183574879227,0.9982510288065845
wustl,multiclass,E7_multiseed,RandomForest,Anchor,0.9878183831672204,0.8829651606768792,,0.978840550325848,0.0234113489364539,0.9983183060342132
wustl,multiclass,E7_multiseed,TabICL,Anchor,0.9862508167603832,0.8616405344135859,,0.9761018377503587,0.0248249649929986,0.9967161516478896
wustl,multiclass,E7_multiseed,TabPFN,Anchor,0.991591586064304,0.9244896706137972,,0.9853545574069988,0.016216576648663,0.9984830665916724
